,Model_type,mape,mse,me,mae,mpe,rmse,R2 score,Adj R2 score,AIC,BIC
206,huberRegressor_Outliers_Removed_default_model,13.974178938562476,0.005749870117259208,-0.018115056988523243,0.052592780627110335,-0.016486399630505043,0.07582789801424808,0.2785617595564496,0.22873269189818635,-1795.6123505448757,-1706.424427563944
266,huberRegressor_Outliers_Removed_shuffled_default_model,13.97417938479682,0.005749868111283415,-0.01811505061057105,0.052592782175198076,-0.016486392396028473,0.07582788478708485,0.278562011246943,0.2287329609727079,-1795.6124750926424,-1706.4245521117107
606,GBM_grid__1_AutoML_20201106_170326_model_14Outlier_removed_full_lag,13.979209799953496,0.00543852362154721,-0.004958041534378312,0.05162359124293982,0.02391024522472036,0.07374634649626523,0.3327480514292478,-0.051427312899367195,-1637.2003915367889,-1118.5140435103176
326,huberRegressor_OutliersRemoved_extra_features_shuffled_default_model,13.993464733504881,0.005423776881001405,-0.005729396516655008,0.051037810280198916,0.0169403750152545,0.0736462957724379,0.3194767934248167,0.25912458244414294,-1804.4557426974434,-1692.001405025834
348,adaBoost_OutliersRemoved_extra_features_shuffled_rscv_model,14.009386051652886,0.004794717217803032,-0.0035952310908085685,0.05069344277186944,0.0258765308057456,0.06924389661048136,0.3984051322040887,0.34505268215491003,-1848.4658751987286,-1736.0115375271191
367,LightGradientBoosting_OutliersRemoved_extra_features_shuffled_crosscv_model,14.01106793431968,0.0048116516545894505,0.0009409647026229178,0.050278524513626986,3.544852169224056,0.06909480243722059,0.3609541650978424,,,
602,XGBoost_grid__1_AutoML_20201106_170326_model_26Outlier_removed_full_lag,14.011206583796405,0.005341164485528874,-0.007240291311569281,0.052223215680296683,0.015735427402770168,0.07308327090058897,0.34469303461586465,-0.032604915150758806,-1643.7937271863268,-1125.1073791598556
267,huberRegressor_Outliers_Removed_shuffled_rscv_model,14.023577304787437,0.005840719521885495,-0.01995775370166358,0.05309854022972696,-0.02189291181539089,0.07642460024027273,0.26716285257554295,0.21654647302370367,-1790.015758362618,-1700.8278353816863
595,XGBoost_grid__1_AutoML_20201106_170326_model_28Outlier_removed_full_lag,14.03340631106109,0.005217558595507272,-0.007271942684348189,0.05192895367946434,0.013980054152209017,0.0722326698627932,0.3598582295678491,-0.00870824431732875,-1652.3398763041025,-1133.6535282776313
597,XGBoost_grid__1_AutoML_20201106_170326_model_18Outlier_removed_full_lag,14.054278345849053,0.005239910555291634,-0.004944327906639477,0.052081657130038705,0.02106643465423888,0.07238722646497539,0.3571158697366992,-0.013029538596716517,-1650.779560394433,-1132.0932123679618
207,huberRegressor_Outliers_Removed_rscv_model,14.05979453685742,0.005810998438995834,-0.01873149770317002,0.0530735033019035,-0.01752754822528794,0.07622990514880518,0.2708919673740898,0.22053315430983778,-1791.8370262030633,-1702.6491032221315
349,adaBoost_OutliersRemoved_extra_features_shuffled_crosscv_model,14.06060554412882,0.004967868953076238,0.0008839788543357884,0.050263046112653656,4.049761772097709,0.07017269202243903,0.347752413955745,,,
592,XGBoost_grid__1_AutoML_20201106_170326_model_5Outlier_removed_full_lag,14.07711778595371,0.00515677850699224,-0.006344140294732982,0.05210925770684005,0.018037505947067344,0.07181071303776505,0.36731533287715135,0.0030423427155111815,-1656.6167734049602,-1137.930425378489
232,bagging_Outliers_Removed_crosscv_model,14.094447962055975,0.004851830626728014,0.0002877605361631421,0.05012234877057624,3.985995363302719,0.06940584859990068,0.36360205643488347,,,
620,XGBoost_grid__1_AutoML_20201106_170326_model_15Outlier_removed_full_lag,14.169853060929668,0.005691648862614626,-0.008026059996844843,0.05333550708153566,0.013033535173345523,0.07544301732178152,0.3016921395517106,-0.10036390131245598,-1620.5956809556383,-1101.9093329291668
601,XGBoost_grid__1_AutoML_20201106_170326_model_17Outlier_removed_full_lag,14.182384565738449,0.005291193825418843,-0.003931481446558354,0.05261247568505258,0.022560512526166906,0.07274059269361807,0.3508239301768733,-0.02294411002432084,-1647.2246546819674,-1128.538306655496
607,GBM_grid__1_AutoML_20201106_170326_model_7Outlier_removed_full_lag,14.203751858446031,0.005445519444481297,-0.004680668159004573,0.05240324092626101,0.025696603006956312,0.07379376291043367,0.33188973457536297,-0.05277981218427663,-1636.7311769798268,-1118.0448289533556
611,XGBoost_grid__1_AutoML_20201106_170326_model_4Outlier_removed_full_lag,14.208793064107086,0.005547704090792834,-0.005724606432579838,0.05283622731286547,0.01771123643293307,0.07448291140115855,0.3193527099874308,-0.07253512365616954,-1629.9454566634695,-1111.259108636998
292,bagging_Outliers_Removed_shuffled_crosscv_model,14.217424055481667,0.0049123045092274355,0.0009058514517623812,0.050442694164576383,4.1989267342028755,0.06981476512434946,0.3568901504757579,,,
612,XGBoost_grid__1_AutoML_20201106_170326_model_30Outlier_removed_full_lag,14.268666523784468,0.005625382303963089,-0.009036446336450515,0.05372436377142249,0.011216079752073609,0.07500254864978316,0.30982237736296736,-0.08755261748865739,-1624.8702243390478,-1106.1838763125766
610,XGBoost_grid__1_AutoML_20201106_170326_model_1Outlier_removed_full_lag,14.282928174730571,0.005526641719805123,-0.007995044270859876,0.053645599603117246,0.011978034721991779,0.07434138631882731,0.32193685029113184,-0.0684631449957922,-1631.333850129149,-1112.6475021026777
264,elastic_net_Outliers_Removed_shuffled_rscv_model,14.331858949167655,0.005649802583161033,-0.018112049078009732,0.05392954079568612,-0.014344907971101321,0.07516516868311435,0.29111726850761954,0.24215539816430198,-1801.8800791419635,-1712.6921561610318
204,elastic_net_Outliers_Removed_rscv_model,14.331858949167659,0.005649802583161038,-0.01811204907800994,0.05392954079568616,-0.014344907971101897,0.07516516868311438,0.2911172685076189,0.24215539816430132,-1801.880079141963,-1712.6921561610313
201,ridgeRegressor_Outliers_Removed_rscv_model,14.332307485376235,0.00569621527776724,-0.01909315301207694,0.05399759569540046,-0.017201571593477308,0.07547327525533286,0.28529385127416973,0.23592976292373702,-1798.9593320394326,-1709.771409058501
198,lassoRegressor_Outliers_Removed_rscv_model,14.334563507926887,0.005656885153636985,-0.018215679340959606,0.053957535744708136,-0.014579228504779947,0.07521226730817909,0.29022861588107574,0.2412053671281169,-1801.4328256138772,-1712.2449026329455
258,lassoRegressor_Outliers_Removed_shuffled_rscv_model,14.334563507926893,0.005656885153636984,-0.018215679340959533,0.05395753574470815,-0.014579228504779733,0.07521226730817908,0.29022861588107596,0.24120536712811724,-1801.4328256138776,-1712.244902632946
312,NeuralNet_MLP_Outliers_Removed_shuffled_rscv_model,14.342729751209692,0.0056389361154381866,-0.016889339041339723,0.053656195734121115,-0.01074117489761176,0.07509284996215143,0.292480688062137,0.2436129878382005,-1802.5673711909355,-1713.3794482100038
599,GBM_grid__1_AutoML_20201106_170326_model_11Outlier_removed_full_lag,14.343166028230872,0.005248152738398369,-0.009216667595532909,0.053243841307865455,0.010557018776481176,0.07244413529333046,0.35610463707115436,-0.014622996130302157,-1650.2058801316377,-1131.5195321051665
194,linear_regression_Outliers_Removed_default_model,14.360089395271636,0.005718317371569056,-0.019279298230974733,0.05414458096872923,-0.01782043842949555,0.07561955680621948,0.28252069373542155,0.23296506597540567,-1797.5768037150765,-1708.3888807341448
195,linear_regression_Outliers_Removed_rscv_model,14.360089395271636,0.005718317371569056,-0.019279298230974733,0.05414458096872923,-0.01782043842949555,0.07561955680621948,0.28252069373542155,0.23296506597540567,-1797.5768037150765,-1708.3888807341448
352,bagging_OutliersRemoved_extra_features_shuffled_crosscv_model,14.4276966623348,0.00501619923649215,0.0004784142219350078,0.05116986309320798,4.123843241992786,0.07058808790628604,0.3413760257222931,,,
613,XGBoost_grid__1_AutoML_20201106_170326_model_31Outlier_removed_full_lag,14.47506425703983,0.005626428065207529,-0.006997106483790845,0.0541700041800548,0.015996719931621523,0.0750095198305357,0.30969407301483,-0.08775479403723763,-1624.8023769717718,-1106.1160289453005
